WAST,T,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx
1/3/2014 9:00,29.56,2.1,56,19,0.1,1012.3,1015.7,1015.9,0,17.3,8,616,29.3,30,29.3,28.1,12
1/3/2014 9:10,30.56,2.1,45,22,0.1,1012.3,1015.7,1015.9,0,16.3,7,647,29.3,30,29.4,28.1,15
1/3/2014 9:20,30.77,1.3,50,20,0.1,1012.4,1015.8,1016,0,15.2,7,692,29.2,30,29.4,28.1,11
1/3/2014 9:30,31.37,1.6,49,22,0.2,1012.4,1015.7,1016,0,15,8,720,29.2,30,29.4,28.1,13
1/3/2014 9:40,31.56,0.3,39,22,0.1,1012.4,1015.7,1016,0,13.5,7,754,29.2,29.9,29.4,28.1,11
1/3/2014 9:50,31.67,0.1,35,20,0.2,1012.5,1015.8,1016.1,0,13.2,7,786,29.2,29.9,29.4,28.1,11
1/3/2014 10:00,32.25,0.4,42,23,0.1,1012.5,1015.8,1016.1,0,13.1,7,819,29.2,29.9,29.4,28.1,12
1/3/2014 10:10,32.62,0.2,36,21,0.2,1012.4,1015.7,1016,0,12.6,8,841,29.1,29.9,29.4,28.1,15
1/3/2014 10:20,32.98,-0.1,26,20,0.2,1012.3,1015.6,1015.9,0,12,9,863,29.1,29.8,29.4,28.1,16
